Fecha,Lugar,1.-Homicidios dolosos y asesinatos consumados,2.-Homicidios dolosos y asesinatos en grado tentativa,3.-Delitos graves y menos graves de lesiones y riña tumultuaria,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,8.-Hurtos,"7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,6.-Robos con violencia e intimidación,9.-Sustracciones de vehículos,10.-Tráfico de drogas,III. TOTAL INFRACCIONES PENALES
2024,Total Nacional,,,,,,,,,,,,
2024,Araba/Álava,1,6,311,41,0,90,102,25,129,4,74,1378
2024,Albacete,,,,,,,,,,,,
2024,Alicante/Alacant,,,,,,,,,,,,
2024,Almería,,,,,,,,,,,,
2024,Ávila,,,,,,,,,,,,
2024,Badajoz,,,,,,,,,,,,
2024,Balears (Illes),,,,,,,,,,,,
2024,Barcelona,,,,,,,,,,,,
2024,Burgos,,,,,,,,,,,,
2024,Cáceres,,,,,,,,,,,,
2024,Cádiz,,,,,,,,,,,,
2024,Castellón/Castelló,,,,,,,,,,,,
2024,Ciudad Real,,,,,,,,,,,,
2024,Córdoba,,,,,,,,,,,,
2024,Coruña (A),,,,,,,,,,,,
2024,Cuenca,,,,,,,,,,,,
2024,Girona,,,,,,,,,,,,
2024,Granada,,,,,,,,,,,,
2024,Guadalajara,,,,,,,,,,,,
2024,Gipuzkoa,3,25,813,134,0,565,361,89,282,18,231,4165
2024,Huelva,,,,,,,,,,,,
2024,Huesca,,,,,,,,,,,,
2024,Jaén,,,,,,,,,,,,
2024,León,,,,,,,,,,,,
2024,Lleida,,,,,,,,,,,,
2024,Rioja (La),,,,,,,,,,,,
2024,Lugo,,,,,,,,,,,,
2024,Madrid,,,,,,,,,,,,
2024,Málaga,,,,,,,,,,,,
2024,Murcia,,,,,,,,,,,,
2024,Navarra,,,,,,,,,,,,
2024,Ourense,,,,,,,,,,,,
2024,Asturias,,,,,,,,,,,,
2024,Palencia,,,,,,,,,,,,
2024,Palmas (Las),,,,,,,,,,,,
2024,Pontevedra,,,,,,,,,,,,
2024,Salamanca,,,,,,,,,,,,
2024,Santa Cruz de Tenerife,,,,,,,,,,,,
2024,Cantabria,,,,,,,,,,,,
2024,Segovia,,,,,,,,,,,,
2024,Sevilla,,,,,,,,,,,,
2024,Soria,,,,,,,,,,,,
2024,Tarragona,,,,,,,,,,,,
2024,Teruel,,,,,,,,,,,,
2024,Toledo,,,,,,,,,,,,
2024,Valencia/València,,,,,,,,,,,,
2024,Valladolid,,,,,,,,,,,,
2024,Bizkaia,9,24,850,164,0,562,427,123,682,16,314,5090
2024,Zamora,,,,,,,,,,,,
2024,Zaragoza,,,,,,,,,,,,
2024,Ceuta,,,,,,,,,,,,
2024,Melilla,,,,,,,,,,,,
